district_name,state_ut,households_surveyed,women_15_49_interviewed,men_15_54_interviewed,female_population_age_6_years_and_above_ever_schooled_pct,population_below_age_15_years_pct,sex_ratio_total_f_per_1000_m,sex_ratio_at_birth_5y_f_per_1000_m,child_u5_whose_birth_was_civil_reg_pct,deaths_in_the_last_3_years_civil_reg_pct,hh_electricity_pct,hh_improved_water_pct,hh_use_improved_sanitation_pct,households_using_clean_fuel_for_cooking_pct,households_using_iodized_salt_pct,hh_member_covered_health_insurance_pct,child_5y_who_attended_pre_primary_school_during_the_school_pct,women_age_15_49_who_are_literate_pct,women_age_15_49_with_10_or_more_years_of_schooling_pct,w20_24_married_before_age_18_years_pct,births_in_the_5_years_preceding_the_survey_that_are_birth_3_pct,w15_19_who_were_already_mothers_or_pregnant_at_the_time_of_pct,w15_24_who_use_menstrual_hygiene_pct,fp_cm_w15_49_any_method_pct,fp_cm_w15_49_modern_method_pct,fp_cm_w15_49_f_steril_pct,fp_cm_w15_49_m_steril_pct,fp_cm_w15_49_iud_pct,fp_cm_w15_49_pill_pct,fp_cm_w15_49_condom_pct,fp_cm_w15_49_injectables_pct,fp_unmet_total_cm_w15_49_7_pct,fp_unmet_spacing_cm_w15_49_7_pct,health_worker_ever_talked_to_female_non_users_about_family_pct,current_users_ever_told_about_side_effects_of_current_metho_pct,mothers_who_had_an_anc_visit_in_the_first_trimester_lb5y_pct,mothers_who_had_at_least_4_anc_visits_lb5y_pct,mothers_whose_last_birth_was_protected_against_neo_tetanus_pct,mothers_who_consumed_ifa_for_100_days_or_more_when_they_wer_pct,mothers_who_consumed_ifa_for_180_days_or_more_when_they_wer_pct,registered_pregnancies_for_which_the_mother_received_a_mcp_pct,mothers_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwif_pct,average_out_of_pocket_expenditure_per_delivery_in_a_public_fac,children_born_at_home_who_were_taken_to_a_health_facility_f_pct,children_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwi_pct,institutional_birth_5y_pct,institutional_birth_in_public_facility_5y_pct,home_birth_that_were_conducted_by_skilled_hp_5y_10_pct,births_attended_by_skilled_hp_5y_10_pct,births_delivered_by_csection_5y_pct,births_in_a_private_fac_that_were_delivered_by_csection_5y_pct,births_in_a_public_fac_that_were_delivered_by_csection_5y_pct,child_12_23m_fully_vaccinated_based_on_information_from_eit_pct,child_12_23m_fully_vaccinated_based_on_information_from_vax_pct,child_12_23m_who_have_received_bcg_pct,child_12_23m_who_have_received_3_doses_of_polio_vaccine_pct,child_12_23m_who_have_received_3_doses_of_penta_or_dpt_vacc_pct,child_12_23m_who_have_received_the_first_dose_of_mcv_mcv_pct,child_24_35m_who_have_received_a_second_dose_of_mcv_mcv_pct,child_12_23m_who_have_received_3_doses_of_rotavirus_vaccine_pct,child_12_23m_who_have_received_3_doses_of_penta_or_hepatiti_pct,child_9_35m_who_received_a_vit_a_in_the_last_6_months_pct,child_12_23m_who_received_most_of_their_vaccinations_in_a_p_pct,child_12_23m_who_received_most_of_their_vaccinations_in_a_2_pct,prev_diarrhoea_2wk_child_u5_pct,children_with_diarrhoea_2wk_who_received_oral_rehydration_s_pct,children_with_diarrhoea_2wk_who_received_zinc_child_u5_pct,children_with_diarrhoea_2wk_taken_to_a_health_facility_or_h_pct,children_prev_symptoms_of_acute_respiratory_infection_ari_2_pct,children_with_fever_or_symptoms_of_ari_2wk_taken_to_a_healt_pct,children_under_age_3_years_breastfed_within_one_hour_of_bir_pct,child_u6m_exclusively_breastfed_pct,child_6_8m_receiving_solid_or_semi_solid_food_and_breastmil_pct,breastfeeding_child_6_23m_receiving_an_adequate_diet16_17_pct,non_breastfeeding_child_6_23m_receiving_an_adequate_diet16_pct,total_child_6_23m_receiving_an_adequate_diet16_17_pct,child_u5_who_are_stunted_height_for_age_18_pct,child_u5_who_are_wasted_weight_for_height_18_pct,child_u5_who_are_severe_wasted_weight_for_height_19_pct,child_u5_who_are_underweight_weight_for_age_18_pct,child_u5_who_are_overweight_weight_for_height_20_pct,women_age_15_49_years_whose_bmi_bmi_is_underweight_bmi_lt_1_pct,women_age_15_49_years_who_are_overweight_obese_bmi_gte_25_0_pct,women_age_15_49_years_who_have_high_risk_whr_gte_0_85_pct,child_6_59m_who_are_anaemic_lt_11_0_g_dl_22_pct,non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct,pregnant_w15_49_who_are_anaemic_lt_11_0_g_dl_22_pct,all_w15_49_who_are_anaemic_pct,all_w15_19_who_are_anaemic_pct,women_age_15_years_and_above_with_high_141_160_mg_dl_blood_pct,w15_plus_with_very_high_gt_160_mg_dl_blood_sugar_pct,w15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,m15_plus_with_high_141_160_mg_dl_blood_sugar_pct,men_age_15_years_and_above_with_very_high_gt_160_mg_dl_bloo_pct,m15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,w15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct,w15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct,w15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,m15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct,m15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct,m15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,women_age_30_49_years_ever_undergone_a_cervical_screen_pct,women_age_30_49_years_ever_undergone_a_breast_exam_pct,women_age_30_49_years_ever_undergone_an_oral_cancer_exam_pct,w15_plus_who_use_any_kind_of_tobacco_pct,m15_plus_who_use_any_kind_of_tobacco_pct,w15_plus_who_consume_alcohol_pct,m15_plus_who_consume_alcohol_pct
Udalguri ,Assam,916,1088,151,70.6,27.2,1087,1255 ,96.1,51.2 ,95.5,82.3,73.8,34,99.3,70.6,1.7 ,70,23.8,32.0 ,1.1 ,4.7 ,61.8,50.2,36.2,6.4,0.3,2,23.9,3,0.2,14.6,6.4,14.6,47.2 ,50.1 ,49.8 ,91.0 ,44.2 ,25.7 ,99.6 ,53.1 ,6731 ,(0.0),62.9 ,86.2,78.5,1.9,87.9,14.4,*,10.8 ,(38.3),(52.0),(78.6),(48.6),(68.0),(75.9),(20.9),(52.2),(65.7),53.2 ,(88.0),(0.0),3.2,*,*,*,2.3,55.6 ,46.5 ,*,*,2.6 ,*,2.5 ,33.8 ,21.3 ,11.6 ,32.5 ,5.2 ,16.1,14,66.9,77.6 ,82.2,(63.9),81.5,72.6 ,6.6,4.6,12.1,9.4,6.8,18,10,7,19.7,15.8,4.1,22.6,0.2,0.3,0.2,12.2,50.8,11.1,35.1
Biswanath ,Assam,901,1000,135,72.1,28.7,996,1014 ,98.7,62.5 ,91.1,76.2,76.6,35,98,68.4,2.9 ,69.2,23,25.3 ,0.8 ,9.0 ,70.9,72.4,56.1,11.9,0.3,2.1,36.3,4.5,0.6,5.3,1.4,29.9,73.5 ,41.2 ,46.5 ,94.6 ,63.7 ,21.4 ,99.3 ,56.5 ,3676 ,(2.8),58.1 ,84.3,74,0.6,84.6,15.3,(70.6),11.0 ,66.2 ,74.3 ,88.3 ,69.2 ,82.5 ,87.2 ,26.4 ,54.0 ,82.6 ,61.4 ,100.0 ,0.0 ,3.7,*,*,*,2,(49.1),62.7 ,(68.0),*,14.8 ,*,14.5 ,42.7 ,27.1 ,13.7 ,41.0 ,3.3 ,22,10.6,69.3,79.8 ,65.1,(45.1),64.4,67.8 ,5.5,2.6,8.1,5.7,4.4,10.4,14.5,7,23.5,19.1,7.6,28.4,0.5,0,0,27.8,61.6,11.5,40.5
Charaideo ,Assam,922,1117,166,75,25.8,1027,1040 ,94.4,50.6 ,91.7,96.4,75.9,27.3,99.7,64.9,1.7 ,71.9,26.2,22.6 ,0.0 ,3.8 ,68.7,67,43.9,20.1,0.1,4,14.4,4.4,0.1,8.3,3.7,22,69.5 ,74.1 ,64.5 ,95.9 ,51.7 ,19.4 ,98.7 ,70.5 ,4858 ,(7.0),72.8 ,88.2,76.7,2.2,90.5,20,(62.5),16.7 ,(74.0),(81.5),(96.2),(82.0),(90.1),(90.0),(27.8),(35.9),(79.6),58.0 ,(87.7),(7.6),9.8,(68.6),(11.8),(72.7),2.2,58.7 ,58.3 ,*,*,10.5 ,*,9.9 ,39.0 ,23.5 ,7.3 ,34.8 ,4.0 ,24.7,10.3,53.5,69.7 ,72.6,(61.6),72.3,76.1 ,7.1,4.1,11.9,8.8,5,14.9,9.3,5.2,18.2,12.6,3,17.9,0.2,0,0,25.4,57.9,17.7,50.4
Dhubri ,Assam,912,1017,128,71.8,32.3,1000,914 ,96.4,73.1 ,92.5,96.7,61.8,40.7,99.1,59.4,5.3 ,69.5,20.4,50.8 ,1.0 ,22.4 ,48.8,64.1,53.2,1.8,0,1.3,44.2,5.1,0.7,11.5,4,22.6,76.7 ,49.9 ,37.6 ,97.0 ,47.6 ,14.6 ,98.2 ,48.4 ,4691 ,0.8 ,54.5 ,64.2,61.8,5.8,68.9,6.9,*,8.0 ,71.6 ,69.5 ,90.5 ,77.3 ,82.7 ,84.0 ,31.8 ,47.4 ,81.4 ,50.6 ,96.9 ,0.0 ,9.8,(69.5),(22.9),(43.6),1.7,39.7 ,57.9 ,(66.4),*,6.6 ,*,7.4 ,48.5 ,21.5 ,6.7 ,37.8 ,6.0 ,22.2,12.4,68.1,73.1 ,63,(69.7),63.2,65.2 ,4.6,3.1,8.2,5.9,4.4,10.4,11.3,5.5,18.2,13.4,4.8,19,0,0,0,21.8,55,0.3,5.1
Hojai ,Assam,896,1027,148,79.1,27.5,986,1017 ,98.7,79.7 ,96.3,99.9,63.1,52,98.9,67.4,3.7 ,83.2,23.1,30.9 ,1.2 ,15.6 ,64.6,61.1,48.2,4.3,0.1,1.2,37.2,4.9,0,13.2,4.9,21.7,73.5 ,52.7 ,51.3 ,96.2 ,50.5 ,16.0 ,98.3 ,63.9 ,5299 ,(0.0),68.4 ,82.1,59.4,4.1,83.5,18.4,51.6 ,11.2 ,55.5 ,(63.6),82.1 ,60.9 ,60.8 ,59.3 ,14.6 ,41.4 ,55.6 ,52.1 ,86.4 ,7.8 ,4.4,*,*,*,2.4,44.7 ,54.9 ,(64.3),*,2.8 ,*,2.7 ,39.3 ,12.7 ,4.6 ,28.4 ,6.0 ,19.3,20.1,69.6,56.8 ,56.6,(51.4),56.3,54.3 ,6.3,7.5,14.6,7.6,8,16.5,11.6,6.9,21,15.9,7.3,25.2,0.9,0,0.5,18.8,53.7,2.2,16.7
Jorhat ,Assam,917,1019,148,84.4,21.6,1009,833 ,92.8,57.2 ,95.1,85.9,80.4,48.3,98.9,60.1,(11.1),85.1,42.9,24.9 ,0.4 ,12.9 ,76.7,63.8,32.3,12.5,0.3,3.6,9.9,6,0,10.4,3.2,14.4,62.6 ,78.3 ,67.0 ,97.4 ,52.1 ,26.6 ,99.2 ,81.4 ,8435 ,*,85.4 ,96.5,74.9,0.4,97.4,44.4,87.7 ,33.9 ,69.2 ,70.4 ,100.0 ,79.4 ,79.8 ,83.3 ,25.9 ,50.3 ,78.4 ,50.9 ,94.2 ,4.1 ,6.3,*,*,*,3,56.6 ,51.6 ,*,*,10.8 ,*,11.5 ,38.7 ,15.5 ,5.1 ,33.2 ,5.4 ,22.5,19.9,49.5,74.1 ,72.4,(56.4),71.8,75.1 ,7.7,7.3,15.3,8.5,9.3,19,14.3,7.1,25.9,16.7,6.4,26.3,0,0.2,0.3,16.5,47.1,4,30.9
Karbi Anglong ,Assam,919,1042,156,76.4,29.9,994,882 ,93,60.7 ,97,79.6,75.2,33.4,99.8,54.1,1.6 ,78.8,30.3,26.1 ,0.0 ,9.1 ,77.6,66.3,41.1,9.3,0,6.2,23.6,1.8,0,9.3,2.4,23.6,74.6 ,64.8 ,63.9 ,90.9 ,35.3 ,9.0 ,96.4 ,56.9 ,6822 ,1.4 ,61.0 ,74.9,69.2,3.4,78.3,15.2,*,16.4 ,64.3 ,(74.3),88.7 ,65.9 ,75.3 ,76.2 ,4.9 ,42.9 ,66.9 ,44.9 ,91.4 ,1.6 ,2.2,*,*,*,2.2,(55.3),50.3 ,(55.2),*,20.5 ,*,18.1 ,31.6 ,17.2 ,8.7 ,28.2 ,4.3 ,10,15.7,59.3,67.5 ,59.5,(42.1),59,57.5 ,6.5,3.2,10.7,8.5,4.8,14.6,10.9,6.5,20.1,15,6.6,22.8,0,0,0.2,20.5,55,20.5,48.5
Majuli ,Assam,921,1052,146,78.4,26.2,995,754 ,98.1,59.3 ,93.5,98.6,65.6,19.3,99.8,60.8,5.2 ,83.4,41.7,25.5 ,1.0 ,10.4 ,75.4,63.7,31.3,12.2,0,3.4,13.6,1.2,0.4,11.6,4.7,25.1,85.6 ,76.1 ,72.2 ,97.2 ,56.7 ,13.7 ,98.4 ,73.5 ,6227 ,*,73.5 ,90.3,85.8,3.2,93.5,22.5,*,21.9 ,78.6 ,83.9 ,95.2 ,84.3 ,86.4 ,90.9 ,17.9 ,55.6 ,80.3 ,62.0 ,100.0 ,0.0 ,3.6,*,*,*,3,(56.4),51.1 ,*,*,14.9 ,*,14.2 ,35.4 ,14.1 ,3.9 ,22.2 ,3.8 ,18,14.4,53,73.0 ,68.1,*,67.8,65.5 ,6.8,3.9,11.1,8.8,5.3,14.9,10.9,6.2,19.7,14.8,6,23.3,0.2,0,0.2,26.6,54.7,32.1,45.4
Nagaon ,Assam,922,1122,169,81.3,31.1,1050,969 ,99.2,66.0 ,94.5,96.1,66.1,38.6,98.7,59.4,4.7 ,78.4,22.1,42.6 ,1.7 ,15.0 ,58.4,58.6,46.8,7.7,0.2,2.8,30.2,5.4,0.1,12.3,3.1,16.6,73.7 ,73.1 ,59.4 ,97.1 ,46.5 ,12.3 ,98.3 ,62.0 ,5670 ,(0.0),65.3 ,83.7,73.4,2.7,86.7,17.9,(80.8),13.0 ,58.2 ,68.0 ,86.9 ,67.2 ,73.6 ,67.3 ,9.6 ,31.4 ,64.6 ,47.9 ,95.3 ,3.3 ,8.7,(75.4),(11.7),(57.1),2.8,42.5 ,61.6 ,(67.5),*,8.5 ,*,8.6 ,38.9 ,19.4 ,5.2 ,32.4 ,7.4 ,21.5,13.2,60.7,68.6 ,61,(62.4),61,65.1 ,8.3,6.2,15.9,10.6,9.1,21.4,8.9,2.9,16.4,9.7,2.5,17,0.2,0.2,0.4,18.2,49,2.5,14.8
Sivasagar ,Assam,919,1020,146,87.1,23.8,989,915 ,97.1,57.9 ,97,92.7,82.3,45.5,99.8,60.7,5.7 ,86.6,47.1,27.9 ,0.8 ,12.8 ,75.7,67.3,39.5,12.4,0,4.4,16.3,5.1,0.3,8.3,3.2,22.1,80.1 ,85.1 ,80.9 ,96.5 ,53.7 ,23.8 ,100.0 ,73.8 ,5466 ,*,83.4 ,95.3,76.2,0.4,95.6,30,(75.3),20.6 ,(77.6),(76.7),(95.7),(81.9),(90.5),(90.5),(22.5),(30.4),(83.8),64.9 ,(97.8),(2.2),5.1,*,*,*,0.4,58.3 ,54.9 ,*,*,24.8 ,*,24.4 ,26.1 ,21.1 ,6.1 ,25.9 ,3.5 ,20.5,21.5,60.4,67.5 ,68,(54.3),67.6,67.2 ,7.9,6.2,15.3,7.7,8.8,17.2,11.5,5.9,22,15.8,6.8,26,0.2,0.3,0.5,25.5,58.4,13.5,42.9
Sonitpur ,Assam,909,1067,148,74.9,26.6,1027,1325 ,96,77.9 ,88.2,82.9,72.2,45.8,99.4,66.9,3.6 ,76.9,24.3,24.0 ,0.3 ,6.5 ,63.4,74.4,58.9,9.1,0.1,1.7,41.9,5.3,0.6,5.8,2,20.5,72.0 ,48.8 ,45.5 ,99.2 ,56.4 ,16.9 ,98.5 ,63.5 ,5123 ,(4.8),67.4 ,83.5,73.1,1.3,82.8,21.1,(73.4),18.5 ,70.9 ,(76.8),90.4 ,76.5 ,76.8 ,80.4 ,21.5 ,62.4 ,75.0 ,58.7 ,(100.0),(0.0),4.3,*,*,*,2.4,42.6 ,49.8 ,(65.6),*,4.4 ,*,4.3 ,36.7 ,13.1 ,4.5 ,21.9 ,3.2 ,21.4,13.1,68.8,69.4 ,64.3,(47.3),63.6,55.5 ,5.1,3.9,9.5,5.9,4.6,11.1,14.5,8,24.8,14.4,7.7,24.5,0.4,0.4,0.2,23.3,59.1,4.4,28.9
South Salmara Mancachar ,Assam,912,1085,162,69.4,36.7,968,911 ,97.6,71.1 ,79.5,98.2,59,28.5,98.9,68.2,1.9 ,63.5,20.9,44.7 ,0.7 ,22.0 ,60.6,71.5,60.8,1.1,0,2.9,53,2.5,0.6,8,1.7,26.7,71.8 ,60.1 ,35.3 ,93.0 ,47.4 ,18.3 ,99.4 ,62.6 ,3092 ,1.5 ,56.1 ,71.7,69.9,8.1,79.4,5,*,5.5 ,65.8 ,66.0 ,97.0 ,74.1 ,81.9 ,85.3 ,6.6 ,47.1 ,73.7 ,65.8 ,100.0 ,0.0 ,5.4,*,*,*,3.9,60.9 ,50.4 ,(66.3),*,7.9 ,*,7.1 ,38.9 ,18.2 ,7.1 ,27.9 ,5.9 ,11.9,8.5,76.2,69.6 ,58.2,37.6 ,57.1,64.5 ,5.3,2.8,8.7,7.1,4.5,12,11.3,3.1,15.5,12.6,2.6,16.5,0,0.3,0,25.2,50,0.2,0.9
West Karbi Anglong ,Assam,921,1065,146,73.8,31.7,959,1105 ,95.4,43.5 ,94.7,44.7,76.7,17.7,98.9,63.1,3.7 ,73.9,21.7,21.3 ,1.7 ,6.0 ,77.3,69.9,43.3,7.8,0,3.9,26.8,4.4,0.1,7.1,3.2,23,80.5 ,55.5 ,46.7 ,87.6 ,39.9 ,10.6 ,98.7 ,55.7 ,3597 ,1.3 ,60.5 ,72.5,68.9,12,84.5,6.4,*,6.0 ,47.9 ,54.5 ,92.7 ,52.9 ,70.3 ,66.6 ,3.3 ,50.5 ,65.7 ,42.1 ,100.0 ,0.0 ,6.8,*,*,*,2.9,50.7 ,56.2 ,(75.6),*,14.5 ,*,12.8 ,40.9 ,23.2 ,12.7 ,31.1 ,3.9 ,13.1,9.4,54.4,79.0 ,58.8,(38.8),57.9,58.8 ,6,2.1,9.1,8.6,2.3,12.2,11.3,4.2,17,17,3.3,22.2,0,0.2,0,20.2,58.2,23,54.2
Pashchim Champaran ,Bihar,934,1070,109,59.8,36.5,1088,904 ,71.5,29.4 ,93.5,99.7,43.3,31.4,97.7,20,9.2 ,52.5,21.6,39.1 ,5.8 ,12.5 ,42.9,50.7,40.2,34.5,0,0.2,1,2.7,0.7,12.1,6.3,21,38.9 ,55.0 ,25.4 ,89.7 ,9.9 ,6.5 ,83.9 ,57.3 ,1882 ,1.4 ,64.1 ,79.5,60.6,4,78.4,6.4,25.2 ,2.8 ,62.1 ,82.7 ,88.8 ,74.7 ,74.3 ,79.9 ,21.4 ,1.0 ,73.4 ,62.4 ,96.8 ,2.0 ,22.1,56.8 ,16.4 ,59.7 ,6.6,60.2 ,25.9 ,64.2 ,*,9.4 ,*,13.6 ,43.5 ,13.2 ,5.4 ,30.3 ,2.4 ,24.6,20.6,59.4,61.6 ,49.8,61.4 ,50.6,56.3 ,4.3,4.5,9.3,5.9,6.8,13.4,11.3,5.1,18.1,12.3,7.8,22.6,0.3,0,0,5.9,48.1,0.9,10.8
Purba Champaran ,Bihar,934,1142,87,58.2,40,1185,841 ,68.8,34.4 ,94.8,99.9,48.3,44.2,96.9,19.4,5.8 ,50.2,20.1,49.2 ,4.8 ,12.7 ,41.5,49.9,40.8,31.8,0,1.1,1.8,2.5,1.2,17.2,8,18.4,45.7 ,45.4 ,21.7 ,86.4 ,18.4 ,9.8 ,83.5 ,43.7 ,2811 ,3.2 ,41.8 ,61.5,43,7.9,67.4,5.4,22.7 ,2.8 ,68.3 ,73.8 ,90.8 ,74.1 ,79.2 ,77.0 ,23.0 ,0.9 ,77.7 ,51.5 ,94.5 ,5.5 ,13.4,40.7 ,19.7 ,56.0 ,4.7,59.8 ,33.7 ,(72.0),(40.5),14.9 ,*,15.4 ,49.1 ,16.8 ,5.7 ,37.9 ,3.8 ,23.4,16.3,57.5,61.0 ,57.1,61.1 ,57.3,64.4 ,5.3,4.9,10.8,8.1,7.8,16.4,9.1,4,16.2,13.8,6.8,23.6,3.3,0.6,0.4,7.6,55.2,0.5,14.9
Sheohar ,Bihar,944,886,104,56.2,36.2,1066,1017 ,82.5,49.1 ,97.6,100,57.9,31.3,95.6,18.1,3.3 ,52.5,21,34.6 ,4.7 ,3.3 ,57.3,65.6,49.7,38.2,0,1.1,1.6,4.3,1.7,10.4,5.3,24.7,58.7 ,62.8 ,25.3 ,94.0 ,11.3 ,5.0 ,93.2 ,61.1 ,2090 ,0.0 ,58.7 ,74.3,63.8,6.4,77,5.3,(39.2),2.0 ,62.9 ,73.5 ,92.8 ,69.0 ,75.0 ,81.3 ,19.9 ,3.8 ,75.0 ,59.2 ,98.7 ,1.3 ,8.7,(49.8),(33.3),(57.0),5.2,73.3 ,27.3 ,(83.5),*,2.9 ,*,3.5 ,34.4 ,35.4 ,21.4 ,42.2 ,3.4 ,20,7.6,69.1,73.1 ,63.4,37.3 ,61.6,64.3 ,4.2,3.1,7.5,8.7,4.6,13.9,10.1,3.7,15.5,14.6,4.5,20.8,0,0,0.3,4.5,56.6,0.3,14.9
Sitamarhi ,Bihar,911,1004,116,59.1,38.2,1209,1009 ,78.9,35.6 ,93.1,99.7,50.7,40.5,95,20.7,9.5 ,51.7,19.2,46.8 ,6.3 ,13.1 ,47.6,52.8,41,33.9,0,1.2,1.3,2.1,1.5,17,7.1,17.3,52.2 ,57.8 ,20.3 ,87.6 ,14.3 ,9.6 ,91.1 ,51.1 ,2538 ,1.0 ,57.3 ,64.4,49.9,7.9,69.6,8.5,40.8 ,5.3 ,66.6 ,76.1 ,92.7 ,70.4 ,78.3 ,78.4 ,27.3 ,0.9 ,77.7 ,60.0 ,100.0 ,0.0 ,26.6,69.6 ,18.3 ,63.9 ,3.4,67.7 ,22.6 ,63.7 ,*,17.4 ,*,16.3 ,54.2 ,16.2 ,4.7 ,40.8 ,2.2 ,31.8,13.9,59.5,70.0 ,61.8,59.7 ,61.7,61.4 ,6.2,5.6,12.3,8.8,5.3,14.6,9.9,4.3,17.8,10.8,4.8,17.9,0,0,0,6.4,55.4,0.1,12.7
Madhubani ,Bihar,918,976,83,55.6,34.7,1227,805 ,81.1,22.8 ,98.6,100,38.2,40,91.9,19.2,8.3 ,53.2,26.5,39.2 ,3.3 ,10.2 ,57.4,47.4,39.5,33,0.1,0.7,1.2,2.2,1.6,17.7,7,18.6,54.3 ,67.5 ,34.9 ,94.0 ,16.2 ,9.1 ,91.5 ,58.9 ,2426 ,2.4 ,61.0 ,73.7,52.4,7.8,78.5,13.2,51.2 ,4.2 ,74.1 ,85.6 ,95.7 ,80.3 ,85.7 ,91.2 ,38.6 ,0.0 ,83.1 ,74.7 ,96.0 ,2.0 ,30.2,64.6 ,30.4 ,68.4 ,4.4,66.5 ,27.7 ,(74.6),*,13.4 ,*,12.0 ,43.3 ,17.1 ,6.0 ,36.0 ,2.0 ,25.1,13.7,66.3,71.0 ,60.9,68.0 ,61.4,69.2 ,7.4,4.9,13.2,9.3,9.5,20,9.5,4.2,18.2,12.8,6.4,23.4,0.8,0,0.3,5,53.9,0.1,11.1
Supaul ,Bihar,945,1153,112,50.9,39.8,1126,884 ,67.9,28.7 ,97.3,99.7,50.7,15,94.3,14.2,6.8 ,42.1,16.2,55.9 ,5.6 ,17.0 ,55.4,63.7,56.2,50.5,0,0.6,0.8,1.5,1.7,12.1,5.7,26.1,44.5 ,59.0 ,30.9 ,89.8 ,13.2 ,8.0 ,96.1 ,60.7 ,1760 ,4.3 ,64.2 ,80.4,73.6,4.2,79.4,3.7,(26.4),2.6 ,73.6 ,80.5 ,99.2 ,76.8 ,88.0 ,85.5 ,31.3 ,0.0 ,81.7 ,50.5 ,99.3 ,0.0 ,39.3,59.5 ,25.9 ,61.4 ,5,62.9 ,37.0 ,64.1 ,(35.1),14.1 ,*,14.5 ,42.3 ,25.8 ,8.2 ,45.0 ,1.4 ,30.9,9.4,68.3,63.6 ,61,56.1 ,60.7,63.2 ,6.8,5.5,12.7,6.8,7.8,15.6,6.3,2.5,11.6,8.8,3.1,14.1,0.4,0,0.2,11.4,53,0.1,7.9
Araria ,Bihar,947,1122,124,53,40.5,1094,885 ,59.8,25.5 ,96.2,100,32.2,15.2,93.7,19.5,8.8 ,43.7,16.8,52.0 ,6.8 ,13.3 ,36.4,46,42.8,36.2,0,0.1,0.9,1.7,3.2,15.9,6.4,11,33.9 ,41.6 ,25.8 ,86.4 ,17.6 ,7.6 ,90.6 ,46.4 ,3606 ,2.6 ,48.2 ,66.2,51.5,6.5,70.3,9.2,45.2 ,4.9 ,61.6 ,71.1 ,90.0 ,67.3 ,77.4 ,83.0 ,32.3 ,0.0 ,74.2 ,57.1 ,94.7 ,1.6 ,16.3,50.5 ,9.2 ,65.9 ,6,57.9 ,30.6 ,69.0 ,(35.9),13.1 ,(10.7),12.8 ,49.9 ,23.9 ,5.2 ,47.8 ,3.0 ,30.4,9.9,57.2,75.8 ,67.7,70.5 ,67.9,64.0 ,6.9,6.4,13.6,10.1,7.8,18.8,5,2.9,12.1,8.9,3.1,15.8,1.1,0.7,0.7,12.3,53.2,0.2,8.4
Kishanganj ,Bihar,929,1116,111,56,39.9,1199,1016 ,74.3,33.5 ,95.8,100,52.4,15.3,94.8,8.1,5.9 ,48,15,36.6 ,5.2 ,10.0 ,39.8,25.3,21,14.6,0.1,0.5,2.4,2.5,0.5,21.7,8,12.2,43.3 ,37.6 ,17.1 ,79.2 ,17.5 ,10.9 ,84.7 ,40.7 ,4174 ,2.6 ,42.1 ,54.6,41.5,12.4,64.9,12.1,71.0 ,6.6 ,67.3 ,80.9 ,93.2 ,70.2 ,80.3 ,82.0 ,18.6 ,1.7 ,77.4 ,53.2 ,97.3 ,1.7 ,9.1,64.5 ,4.2 ,64.0 ,1.8,67.7 ,16.9 ,(53.5),30.6 ,12.1 ,*,13.1 ,38.8 ,23.9 ,7.6 ,41.1 ,1.5 ,29.1,11.6,53.4,67.5 ,64.9,68.4 ,65.1,62.6 ,5.6,4.4,11,7.8,8,17,8.5,3.6,17.4,12.4,5,22.7,0.8,0.2,0.2,11.6,50.4,0.6,6.2
Purnia ,Bihar,904,973,133,53.6,40.2,1128,938 ,73.5,39.1 ,92.4,99.6,35.6,19.3,92.6,10.2,13.9 ,47.5,19.2,51.2 ,7.4 ,21.4 ,51.5,25.7,24.3,20.8,0,0.3,1.8,0.9,0.3,20.2,9.3,9.4,22.0 ,26.3 ,11.1 ,83.6 ,12.7 ,6.5 ,93.4 ,41.0 ,4083 ,1.0 ,41.5 ,68.9,55.7,9.3,74.2,7.1,37.1 ,3.9 ,62.7 ,81.8 ,88.1 ,67.7 ,80.0 ,79.5 ,19.5 ,3.7 ,71.1 ,65.2 ,96.7 ,3.3 ,12.4,41.2 ,25.9 ,61.9 ,2.7,63.7 ,26.1 ,53.6 ,(16.2),6.0 ,(3.2),5.5 ,43.5 ,25.8 ,8.0 ,47.1 ,0.8 ,31.4,14.4,48.6,68.0 ,65.1,74.6 ,66,64.0 ,6.9,6.8,16.5,8.9,9.8,21.4,8.2,2.7,18.7,11.9,3.5,22.5,2.1,1.2,0.9,6.2,47.3,0.9,13.2
